date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:58:43	208/208	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Apr%202022%2002:58:41%20GMT	https://nft.blvck.icu/robots.txt		(from )
16:58:43	23501/23501	U-----	200	untouched ('OK')	text/html	date:Wed,%2013%20Apr%202022%2002:56:10%20GMT	https://nft.blvck.icu/	C:/Site%20Web/blvck.mint/nft.blvck.icu/index.html	(from )
16:58:43	210/210	---MC-	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Apr%202022%2002:58:42%20GMT	https://nft.blvck.icu/index_1.html	C:/Site%20Web/blvck.mint/nft.blvck.icu/index_1.html	(from https://nft.blvck.icu/)
16:58:58	106471/106471	U-----	200	untouched ('')	image/vnd.microsoft.icon	etag:%2219fe7-5d864db3b9e80%22	https://nft.blvck.icu/favicon.ico	C:/Site%20Web/blvck.mint/nft.blvck.icu/favicon.ico	(from https://nft.blvck.icu/)
16:59:00	179919/179919	U-----	200	untouched ('OK')	text/html	etag:%222becf-5dbe92464c500%22	https://nft.blvck.icu/gtag/js?id=G-JHXEN6CWF1	C:/Site%20Web/blvck.mint/nft.blvck.icu/gtag/js0bf1.html	(from https://nft.blvck.icu/)
16:59:03	40781/40781	U-----	200	untouched ('OK')	text/css	etag:%2262115318-9f4d%22	https://nft.blvck.icu/assets/index.64b769f6.css	C:/Site%20Web/blvck.mint/nft.blvck.icu/assets/index.64b769f6.css	(from https://nft.blvck.icu/)
16:59:03	7165/7165	U-----	200	untouched ('OK')	text/css	etag:%22624da3d0-1bfd%22	https://nft.blvck.icu/css%20(1)/cover.css	C:/Site%20Web/blvck.mint/nft.blvck.icu/css%20(1)/cover.css	(from https://nft.blvck.icu/)
16:59:03	7195/7195	U-----	200	untouched ('OK')	text/css	etag:%2261fb8cb6-1c1b%22	https://nft.blvck.icu/css%20(1)/cover_mob.css	C:/Site%20Web/blvck.mint/nft.blvck.icu/css%20(1)/cover_mob.css	(from https://nft.blvck.icu/)
16:59:03	874/874	U-----	200	untouched ('')	application/javascript	etag:%2262115318-36a%22	https://nft.blvck.icu/assets/index.4ef2f715.js	C:/Site%20Web/blvck.mint/nft.blvck.icu/assets/index.4ef2f715.js	(from https://nft.blvck.icu/)
16:59:04	421869/421869	U-----	200	untouched ('')	image/png	etag:%226211533a-66fed%22	https://nft.blvck.icu/images/traits_character_3.png	C:/Site%20Web/blvck.mint/nft.blvck.icu/images/traits_character_3.png	(from https://nft.blvck.icu/)
16:59:04	3466/3466	U-----	200	untouched ('')	image/png	etag:%226211532a-d8a%22	https://nft.blvck.icu/images/traits_outfit.png	C:/Site%20Web/blvck.mint/nft.blvck.icu/images/traits_outfit.png	(from https://nft.blvck.icu/)
16:59:04	7479/7479	U-----	200	untouched ('')	image/png	etag:%226211532e-1d37%22	https://nft.blvck.icu/images/blvck_logo_white%402x.png	C:/Site%20Web/blvck.mint/nft.blvck.icu/images/blvck_logo_white@2x.png	(from https://nft.blvck.icu/)
16:59:04	3441/3441	U-----	200	untouched ('')	image/png	etag:%2262115330-d71%22	https://nft.blvck.icu/images/traits_league.png	C:/Site%20Web/blvck.mint/nft.blvck.icu/images/traits_league.png	(from https://nft.blvck.icu/)
16:59:04	139264/139264	U-----	200	untouched ('')	image/jpeg	etag:%2262115328-22000%22	https://nft.blvck.icu/images/unreveal@2x.jpg	C:/Site%20Web/blvck.mint/nft.blvck.icu/images/unreveal@2x.jpg	(from https://nft.blvck.icu/)
16:59:04	6604/6604	U-----	200	untouched ('')	image/png	etag:%2262115328-19cc%22	https://nft.blvck.icu/images/traits_tattoo.png	C:/Site%20Web/blvck.mint/nft.blvck.icu/images/traits_tattoo.png	(from https://nft.blvck.icu/)
